ingredient,pairing,level,page
ANCHOVIES,capers,recommended,50
ANCHOVIES,carrots,normal,50
ANCHOVIES,cauliflower,normal,50
ANCHOVIES,celery,normal,50
ANCHOVIES,"cheese: manchego, mozzarella, Parmesan",recommended,50
ANCHOVIES,chives,normal,50
ANCHOVIES,"eggs, hard-boiled",recommended,50
ANCHOVIES,fennel,normal,50
ANCHOVIES,GARLIC,very_highly_recommended,50
ANCHOVIES,"lemon, juice",recommended,50
ANCHOVIES,lobster,normal,50
ANCHOVIES,mayonnaise,recommended,50
ANCHOVIES,Mediterranean cuisine,normal,50
ANCHOVIES,"mustard (e.g., Dijon)",normal,50
ANCHOVIES,nectarines,normal,50
ANCHOVIES,OLIVE OIL,very_highly_recommended,51
ANCHOVIES,"olives (e.g., black, green, niçoise)",recommended,51
ANCHOVIES,onions,normal,51
ANCHOVIES,"orange, zest",normal,51
ANCHOVIES,"parsley, flat-leaf",recommended,51
ANCHOVIES,pasta,recommended,51
ANCHOVIES,"pepper: black, white",recommended,51
ANCHOVIES,"peppers, piquillo",normal,51
ANCHOVIES,pizza,normal,51
ANCHOVIES,potatoes,normal,51
ANCHOVIES,puttanesca sauce (key ingredient),normal,51
ANCHOVIES,red pepper flakes,normal,51
ANCHOVIES,romaine lettuce,normal,51
ANCHOVIES,rosemary,normal,51
ANCHOVIES,"salads, esp. Caesar (key ingredient)",normal,51
ANCHOVIES,salmon,normal,51
ANCHOVIES,"salt: kosher, sea",recommended,51
ANCHOVIES,shallots,normal,51
ANCHOVIES,"sherry, PX",normal,51
ANCHOVIES,tapenade (key ingredient),normal,51
ANCHOVIES,thyme,normal,51
ANCHOVIES,tomatoes,normal,51
ANCHOVIES,tuna,normal,51
ANCHOVIES,"vinegar: champagne, red wine, sherry",recommended,51
ANGELICA,almonds,recommended,52
ANGELICA,anise,normal,52
ANGELICA,apricots,recommended,52
ANGELICA,candy,normal,52
ANGELICA,cream and ice cream,recommended,52
ANGELICA,custards,normal,52
ANGELICA,desserts,recommended,52
ANGELICA,fish,normal,52
ANGELICA,fruits,normal,52
ANGELICA,"ginger: fresh, candied",recommended,52
ANGELICA,hazelnuts,normal,52
ANGELICA,juniper berries,normal,52
ANGELICA,lavender,recommended,52
ANGELICA,lemon balm,normal,52
ANGELICA,liqueurs,normal,52
ANGELICA,mushrooms,normal,52
ANGELICA,nutmeg,normal,52
ANGELICA,oranges,recommended,52
ANGELICA,"pepper, black",normal,52
ANGELICA,plums,recommended,52
ANGELICA,RHUBARB,holy_grail,52
